R_fighter;B_fighter;Winner
Eddie Wineland;Johnny Eduardo;Johnny Eduardo
Manvel Gamburyan;Nik Lentz;Nik Lentz
Justin Salas;Ben Wall;Justin Salas
Anthony Lapsley;Albert Tumenov;Albert Tumenov
Takanori Gomi;Isaac Vallie-Flagg;Takanori Gomi
Joseph Benavidez;Tim Elliott;Joseph Benavidez
Jon Jones;Glover Teixeira;Jon Jones
Phil Davis;Anthony Johnson;Anthony Johnson
Max Holloway;Andre Fili;Max Holloway
Jessamyn Duke;Bethe Correia;Bethe Correia
Luke Rockhold;Tim Boetsch;Luke Rockhold
Jim Miller;Yancy Medeiros;Jim Miller
Danny Castillo;Charlie Brenneman;Danny Castillo
Chris Beal;Patrick Williams;Chris Beal
Thiago Alves;Seth Baczynski;Thiago Alves
Fabricio Werdum;Travis Browne;Fabricio Werdum
Estevan Payan;Alex White;Alex White
Donald Cerrone;Edson Barboza;Donald Cerrone
Jorge Masvidal;Pat Healy;Jorge Masvidal
Rafael Dos Anjos;Khabib Nurmagomedov;Khabib Nurmagomedov
Brad Tavares;Yoel Romero;Yoel Romero
Miesha Tate;Liz Carmouche;Miesha Tate
Derrick Lewis;Jack May;Derrick Lewis
Dustin Ortiz;Ray Borg;Dustin Ortiz
Mirsad Bektic;Chas Skelly;Mirsad Bektic
Jordan Mein;Hernani Perpetuo;Jordan Mein
Caio Magalhaes;Luke Zachrich;Caio Magalhaes
Ryan Jimmo;Sean O'Connell;Ryan Jimmo
Chad Laprise;Olivier Aubin-Mercier;Chad Laprise
Patrick Cote;Kyle Noke;Patrick Cote
Michael Bisping;Tim Kennedy;Tim Kennedy
Sheldon Westcott;Elias Theodorou;Elias Theodorou
Dustin Poirier;Akira Corassani;Dustin Poirier
Sarah Kaufman;Leslie Smith;Sarah Kaufman
Sam Stout;KJ Noons;KJ Noons
George Roop;Dustin Kimura;George Roop
Mark Bocek;Mike de la Torre;Mark Bocek
Mitch Gagnon;Tim Gorman;Mitch Gagnon
Nordine Taleb;Vik Grujic;Nordine Taleb
Richard Walsh;Chris Indich;Richard Walsh
Ramsey Nijem;Beneil Dariush;Ramsey Nijem
Jared Rosholt;Daniel Omielanczuk;Jared Rosholt
Clay Guida;Tatsuya Kawajiri;Clay Guida
Thales Leites;Trevor Smith;Thales Leites
Rani Yahya;Johnny Bedford;
Alan Omer;Jim Alers;Jim Alers
Antonio Rodrigo Nogueira;Roy Nelson;Roy Nelson
John Howard;Ryan LaFlare;Ryan LaFlare
Cezar Ferreira;CB Dollaway;CB Dollaway
Leonardo Santos;Norman Parke;
Ronny Markes;Thiago Santos;Thiago Santos
Fabio Maldonado;Gian Villante;Fabio Maldonado
Jussier Formiga;Scott Jorgensen;Jussier Formiga
Rony Jason;Steven Siler;Rony Jason
Mauricio Rua;Dan Henderson;Dan Henderson
Michel Prazeres;Mairbek Taisumov;Michel Prazeres
Thiago Perpetuo;Kenny Robertson;Kenny Robertson
Godofredo Pepey;Noad Lahat;Godofredo Pepey
Francimar Barroso;Hans Stringer;Hans Stringer
Carlos Condit;Tyron Woodley;Tyron Woodley
Ovince Saint Preux;Nikita Krylov;Ovince Saint Preux
Kelvin Gastelum;Rick Story;Kelvin Gastelum
Johny Hendricks;Robbie Lawler;Johny Hendricks
Dennis Bermudez;Jimy Hettes;Dennis Bermudez
Raquel Pennington;Jessica Andrade;Jessica Andrade
Diego Sanchez;Myles Jury;Myles Jury
Jake Shields;Hector Lombard;Hector Lombard
Robert McDaniel;Sean Strickland;Sean Strickland
Will Campuzano;Justin Scoggins;Justin Scoggins
Sean Spencer;Alex Garcia;Alex Garcia
Daniel Pineda;Robert Whiteford;Robert Whiteford
Renee Forte;Francisco Trevino;Francisco Trevino
Luke Barnatt;Mats Nilsson;Luke Barnatt
Alexander Gustafsson;Jimi Manuwa;Alexander Gustafsson
Brad Pickett;Neil Seery;Brad Pickett
Gunnar Nelson;Omari Akhmedov;Gunnar Nelson
Cyrille Diabate;Ilir Latifi;Ilir Latifi
Brad Scott;Claudio Silva;Claudio Silva
Igor Araujo;Danny Mitchell;Igor Araujo
Michael Johnson;Melvin Guillard;Michael Johnson
Phil Harris;Louis Gaudinot;
Albert Cheng;Anying Wang;Anying Wang
Hatsu Hioki;Ivan Menjivar;Hatsu Hioki
Sai Wang;Zhang Lipeng;Zhang Lipeng
Kazuki Tokudome;Yui Chul Nam;Yui Chul Nam
Dong Hyun Kim;John Hathaway;Dong Hyun Kim
Jumabieke Tuerxun;Mark Eddiva;Mark Eddiva
Nam Phan;Vaughan Lee;Vaughan Lee
Matt Mitrione;Shawn Jordan;Matt Mitrione
Cody Gibson;Aljamain Sterling;Aljamain Sterling
Alexis Davis;Jessica Eye;Alexis Davis
Robert Whittaker;Stephen Thompson;Stephen Thompson
Raphael Assuncao;Pedro Munhoz;Raphael Assuncao
Rory MacDonald;Demian Maia;Rory MacDonald
Mike Pyle;TJ Waldburger;Mike Pyle
Daniel Cormier;Patrick Cummins;Daniel Cormier
Ronda Rousey;Sara McMann;Ronda Rousey
Rafaello Oliveira;Erik Koch;Erik Koch
Zach Makovsky;Josh Sampo;Zach Makovsky
Ernest Chavez;Yosdenis Cedeno;Ernest Chavez
Lyoto Machida;Gegard Mousasi;Lyoto Machida
Erick Silva;Takenori Sato;Erick Silva
Viscardi Andrade;Nicholas Musoke;Nicholas Musoke
Rodrigo Damm;Ivan Jorge;Rodrigo Damm
Francisco Trinaldo;Jesse Ronson;Francisco Trinaldo
Charles Oliveira;Andy Ogle;Charles Oliveira
Jacare Souza;Francis Carmont;Jacare Souza
Cristiano Marcello;Joe Proctor;Joe Proctor
Iuri Alcantara;Wilson Reis;Iuri Alcantara
Ildemar Alcantara;Albert Tumenov;Ildemar Alcantara
Felipe Arantes;Maximo Blanco;Felipe Arantes
Douglas Silva de Andrade;Zubaira Tukhugov;Zubaira Tukhugov
Renan Barao;Urijah Faber;Renan Barao
Chris Cariaso;Danny Martinez;Chris Cariaso
Jamie Varner;Abel Trujillo;Abel Trujillo
Jose Aldo;Ricardo Lamas;Jose Aldo
John Lineker;Ali Bagautinov;Ali Bagautinov
John Makdessi;Alan Patrick;Alan Patrick
Frank Mir;Alistair Overeem;Alistair Overeem
Nick Catone;Tom Watson;Nick Catone
Clint Hester;Andy Enz;Clint Hester
Al Iaquinta;Kevin Lee;Al Iaquinta
Anthony Rocco Martin;Rashid Magomedov;Rashid Magomedov
Neil Magny;Gasan Umalatov;Neil Magny
Chico Camus;Yaotzin Meza;
Eddie Wineland;Yves Jabouin;Eddie Wineland
Stipe Miocic;Gabriel Gonzaga;Stipe Miocic
Donald Cerrone;Adriano Martins;Donald Cerrone
Benson Henderson;Josh Thomson;Benson Henderson
Ramiro Hernandez;Hugo Viana;Hugo Viana
Darren Elkins;Jeremy Stephens;Jeremy Stephens
Alex Caceres;Sergio Pettis;Alex Caceres
Daron Cruickshank;Mike Rio;Daron Cruickshank
George Sullivan;Mike Rhodes;George Sullivan
Walt Harris;Nikita Krylov;Nikita Krylov
Luke Rockhold;Constantinos Philippou;Luke Rockhold
Isaac Vallie-Flagg;Elias Silverio;Elias Silverio
John Moraga;Dustin Ortiz;John Moraga
TJ Dillashaw;Mike Easton;TJ Dillashaw
Yoel Romero;Derek Brunson;Yoel Romero
Ramsey Nijem;Justin Edwards;Ramsey Nijem
Cole Miller;Sam Sicilia;Cole Miller
Lorenz Larkin;Brad Tavares;Brad Tavares
Vinc Pichel;Garett Whiteley;Vinc Pichel
Alptekin Ozkilic;Louis Smolka;Louis Smolka
Trevor Smith;Brian Houston;Trevor Smith
Charlie Brenneman;Beneil Dariush;Beneil Dariush
Mairbek Taisumov;Tae Hyun Bang;Mairbek Taisumov
Kiichi Kunimoto;Luiz Dutra;Kiichi Kunimoto
Katsunori Kikuno;Quinn Mulhern;Katsunori Kikuno
Royston Wee;Dave Galera;Royston Wee
Tarec Saffiedine;Hyun Gyu Lim;Tarec Saffiedine
Tatsuya Kawajiri;Sean Soriano;Tatsuya Kawajiri
Max Holloway;Will Chope;Max Holloway
Kyung Ho Kang;Shunichi Shimizu;Kyung Ho Kang
Dustin Kimura;Jon Delos Reyes;Dustin Kimura
Leandro Issa;Russell Doane;Russell Doane
Dustin Poirier;Diego Brandao;Dustin Poirier
Chris Leben;Uriah Hall;Uriah Hall
Josh Barnett;Travis Browne;Travis Browne
Gleison Tibau;Michael Johnson;Michael Johnson
Chris Weidman;Anderson Silva;Chris Weidman
Ronda Rousey;Miesha Tate;Ronda Rousey
Jim Miller;Fabricio Camoes;Jim Miller
Dennis Siver;Manvel Gamburyan;
William Macario;Bobby Voelker;William Macario
Robert Peralta;Estevan Payan;Robert Peralta
John Howard;Siyar Bahadurzada;John Howard
Demetrious Johnson;Joseph Benavidez;Demetrious Johnson
Court McGee;Ryan LaFlare;Ryan LaFlare
Danny Castillo;Edson Barboza;Edson Barboza
Bobby Green;Pat Healy;Bobby Green
Chad Mendes;Nik Lentz;Chad Mendes
Urijah Faber;Michael McDonald;Urijah Faber
Scott Jorgensen;Zach Makovsky;Zach Makovsky
Joe Lauzon;Mac Danzig;Joe Lauzon
Abel Trujillo;Roger Bowling;Abel Trujillo
Sam Stout;Cody McKenzie;Sam Stout
Darren Uyenoyama;Alptekin Ozkilic;Alptekin Ozkilic
Nick Ring;Caio Magalhaes;Caio Magalhaes
Pat Barry;Soa Palelei;Soa Palelei
Takeya Mizugaki;Nam Phan;Takeya Mizugaki
Dylan Andrews;Clint Hester;Clint Hester
Ryan Bader;Anthony Perosh;Ryan Bader
Mark Hunt;Antonio Silva;
Mauricio Rua;James Te Huna;Mauricio Rua
Julie Kedzie;Bethe Correia;Bethe Correia
Ben Wall;Alex Garcia;Alex Garcia
Richie Vaculik;Justin Scoggins;Justin Scoggins
Bruno Santos;Krzysztof Jotko;Krzysztof Jotko
Akira Corassani;Maximo Blanco;Akira Corassani
Julianna Pena;Jessica Rakoczy;Julianna Pena
Rani Yahya;Tom Niinimaki;Tom Niinimaki
Gray Maynard;Nate Diaz;Nate Diaz
Chris Holdsworth;Davey Grant;Chris Holdsworth
Jessamyn Duke;Peggy Morgan;Jessamyn Duke
Roxanne Modafferi;Raquel Pennington;Raquel Pennington
Sean Spencer;Drew Dober;Sean Spencer
Josh Sampo;Ryan Benoit;Josh Sampo
Jared Rosholt;Walt Harris;Jared Rosholt
Josh Koscheck;Tyron Woodley;Tyron Woodley
Georges St-Pierre;Johny Hendricks;Georges St-Pierre
Rashad Evans;Chael Sonnen;Rashad Evans
Tim Elliott;Ali Bagautinov;Ali Bagautinov
Brian Ebersole;Rick Story;Rick Story
Rory MacDonald;Robbie Lawler;Robbie Lawler
Ed Herman;Thales Leites;Thales Leites
Donald Cerrone;Evan Dunham;Donald Cerrone
Jason High;Anthony Lapsley;Jason High
Will Campuzano;Sergio Pettis;Sergio Pettis
Erik Perez;Edwin Figueroa;Erik Perez
Cody Donovan;Gian Villante;Gian Villante
Thiago Perpetuo;Omari Akhmedov;Omari Akhmedov
Paulo Thiago;Brandon Thatch;Brandon Thatch
Cezar Ferreira;Daniel Sarafian;Cezar Ferreira
Rafael Cavalcante;Igor Pokrajac;Rafael Cavalcante
Rony Jason;Jeremy Stephens;Jeremy Stephens
Vitor Belfort;Dan Henderson;Vitor Belfort
Santiago Ponzinibbio;Ryan LaFlare;Ryan LaFlare
Thiago Tavares;Justin Salas;Thiago Tavares
Godofredo Pepey;Sam Sicilia;Sam Sicilia
Adriano Martins;Daron Cruickshank;Adriano Martins
Jose Maria;Dustin Ortiz;Dustin Ortiz
Liz Carmouche;Alexis Davis;Alexis Davis
Colton Smith;Michael Chiesa;Michael Chiesa
Tim Kennedy;Rafael Natal;Tim Kennedy
Dennis Bermudez;Steven Siler;Dennis Bermudez
Bobby Green;James Krause;Bobby Green
Jorge Masvidal;Rustam Khabilov;Rustam Khabilov
Ronny Markes;Yoel Romero;Yoel Romero
George Roop;Francisco Rivera;Francisco Rivera
Derek Brunson;Brian Houston;Derek Brunson
Amanda Nunes;Germaine de Randamie;Amanda Nunes
Chris Camozzi;Lorenz Larkin;Lorenz Larkin
Neil Magny;Seth Baczynski;Seth Baczynski
Yves Edwards;Yancy Medeiros;
Phil Harris;John Lineker;John Lineker
Ross Pearson;Melvin Guillard;
Norman Parke;Jon Tuck;Norman Parke
Lyoto Machida;Mark Munoz;Lyoto Machida
Luke Barnatt;Andrew Craig;Luke Barnatt
Al Iaquinta;Piotr Hallmann;Al Iaquinta
Jimi Manuwa;Ryan Jimmo;Jimi Manuwa
Alessio Sakara;Nicholas Musoke;Nicholas Musoke
Jimy Hettes;Robert Whiteford;Jimy Hettes
Andy Ogle;Cole Miller;Cole Miller
Brad Scott;Michael Kuiper;Brad Scott
Rosi Sexton;Jessica Andrade;Jessica Andrade
Gabriel Gonzaga;Shawn Jordan;Gabriel Gonzaga
John Dodson;Darrell Montague;John Dodson
Sarah Kaufman;Jessica Eye;
Gilbert Melendez;Diego Sanchez;Gilbert Melendez
Nate Marquardt;Hector Lombard;Hector Lombard
Cain Velasquez;Junior Dos Santos;Cain Velasquez
Tim Boetsch;CB Dollaway;Tim Boetsch
Daniel Cormier;Roy Nelson;Daniel Cormier
TJ Waldburger;Adlan Amagov;Adlan Amagov
Tony Ferguson;Mike Rio;Tony Ferguson
Jeremy Larsen;Andre Fili;Andre Fili
Dustin Pague;Kyoji Horiguchi;Kyoji Horiguchi
George Sotiropoulos;KJ Noons;KJ Noons
Raphael Assuncao;TJ Dillashaw;Raphael Assuncao
Fabio Maldonado;Joey Beltran;Fabio Maldonado
Ildemar Alcantara;Igor Araujo;Igor Araujo
Rousimar Palhares;Mike Pierce;Rousimar Palhares
Thiago Silva;Matt Hamill;Thiago Silva
Erick Silva;Dong Hyun Kim;Dong Hyun Kim
Demian Maia;Jake Shields;Jake Shields
Yan Cabral;David Mitchell;Yan Cabral
Iliarde Santos;Chris Cariaso;Chris Cariaso
Alan Patrick;Garett Whiteley;Alan Patrick
Pat Healy;Khabib Nurmagomedov;Khabib Nurmagomedov
Ivan Menjivar;Wilson Reis;Wilson Reis
Mike Ricci;Myles Jury;Myles Jury
Constantinos Philippou;Francis Carmont;Francis Carmont
Jon Jones;Alexander Gustafsson;Jon Jones
Chris Clements;Stephen Thompson;Stephen Thompson
Brendan Schaub;Matt Mitrione;Brendan Schaub
Renan Barao;Eddie Wineland;Renan Barao
John Makdessi;Renee Forte;John Makdessi
Mitch Gagnon;Dustin Kimura;Mitch Gagnon
Nandor Guelmino;Daniel Omielanczuk;Daniel Omielanczuk
Michel Prazeres;Jesse Ronson;Michel Prazeres
Roland Delorme;Alex Caceres;Alex Caceres
Francisco Trinaldo;Piotr Hallmann;Piotr Hallmann
Rafael Natal;Tor Troeng;Rafael Natal
Glover Teixeira;Ryan Bader;Glover Teixeira
Marcos Vinicius;Ali Bagautinov;Ali Bagautinov
Yushin Okami;Jacare Souza;Jacare Souza
Joseph Benavidez;Jussier Formiga;Joseph Benavidez
Lucas Martins;Ramiro Hernandez;Lucas Martins
Felipe Arantes;Edimilson Souza;Edimilson Souza
Joao Zeferino;Elias Silverio;Elias Silverio
Keith Wisniewski;Ivan Jorge;Ivan Jorge
Yuri Villefort;Sean Spencer;Sean Spencer
Jamie Varner;Gleison Tibau;Gleison Tibau
Louis Gaudinot;Tim Elliott;Tim Elliott
Pascal Krauss;Hyun Gyu Lim;Hyun Gyu Lim
Erik Koch;Dustin Poirier;Dustin Poirier
Frank Mir;Josh Barnett;Josh Barnett
Ben Rothwell;Brandon Vera;Ben Rothwell
Chad Mendes;Clay Guida;Chad Mendes
Benson Henderson;Anthony Pettis;Anthony Pettis
Soa Palelei;Nikita Krylov;Soa Palelei
Ryan Couture;Al Iaquinta;Al Iaquinta
Jared Hamman;Magnus Cedenblad;Magnus Cedenblad
Chico Camus;Kyung Ho Kang;Chico Camus
Justin Edwards;Brandon Thatch;Brandon Thatch
Court McGee;Robert Whittaker;Court McGee
Takeya Mizugaki;Erik Perez;Takeya Mizugaki
Dylan Andrews;Papy Abedi;Dylan Andrews
Kelvin Gastelum;Brian Melancon;Kelvin Gastelum
Carlos Condit;Martin Kampmann;Carlos Condit
Brad Tavares;Robert McDaniel;Brad Tavares
Donald Cerrone;Rafael Dos Anjos;Rafael Dos Anjos
James Head;Jason High;Jason High
Darren Elkins;Hatsu Hioki;Darren Elkins
Roger Bowling;Abel Trujillo;
Zak Cummings;Ben Alloway;Zak Cummings
Alistair Overeem;Travis Browne;Travis Browne
Urijah Faber;Iuri Alcantara;Urijah Faber
Brad Pickett;Michael McDonald;Michael McDonald
Mauricio Rua;Chael Sonnen;Chael Sonnen
Conor McGregor;Max Holloway;Conor McGregor
Matt Brown;Mike Pyle;Matt Brown
Uriah Hall;John Howard;John Howard
Joe Lauzon;Michael Johnson;Michael Johnson
Manvel Gamburyan;Cole Miller;Manvel Gamburyan
Cody Donovan;Ovince Saint Preux;Ovince Saint Preux
Diego Brandao;Daniel Pineda;Diego Brandao
Ramsey Nijem;James Vick;James Vick
Mike Brown;Steven Siler;Steven Siler
John Lineker;Jose Maria;John Lineker
Cezar Ferreira;Thiago Santos;Cezar Ferreira
Vinny Magalhaes;Anthony Perosh;Anthony Perosh
Jose Aldo;Chan Sung Jung;Jose Aldo
Thales Leites;Tom Watson;Thales Leites
Lyoto Machida;Phil Davis;Phil Davis
Amanda Nunes;Sheila Gaff;Amanda Nunes
Sergio Moraes;Neil Magny;Sergio Moraes
Ian McCall;Iliarde Santos;Ian McCall
Ednaldo Oliveira;Francimar Barroso;Francimar Barroso
Viscardi Andrade;Bristol Marunde;Viscardi Andrade
Rani Yahya;Josh Clopton;Rani Yahya
Yves Edwards;Daron Cruickshank;Daron Cruickshank
Demetrious Johnson;John Moraga;Demetrious Johnson
Robbie Lawler;Bobby Voelker;Robbie Lawler
Michael Chiesa;Jorge Masvidal;Jorge Masvidal
Liz Carmouche;Jessica Andrade;Liz Carmouche
Danny Castillo;Tim Means;Danny Castillo
Rory MacDonald;Jake Ellenberger;Rory MacDonald
Mac Danzig;Melvin Guillard;Melvin Guillard
Julie Kedzie;Germaine de Randamie;Germaine de Randamie
Ed Herman;Trevor Smith;Ed Herman
John Albert;Yaotzin Meza;Yaotzin Meza
Aaron Riley;Justin Salas;Justin Salas
Mark Munoz;Tim Boetsch;Mark Munoz
Cub Swanson;Dennis Siver;Cub Swanson
Chris Leben;Andrew Craig;Andrew Craig
Norman Parke;Kazuki Tokudome;Norman Parke
Anderson Silva;Chris Weidman;Chris Weidman
Frankie Edgar;Charles Oliveira;Frankie Edgar
Gabriel Gonzaga;Dave Herman;Gabriel Gonzaga
Tim Kennedy;Roger Gracie;Tim Kennedy
Seth Baczynski;Brian Melancon;Brian Melancon
Mike Pierce;David Mitchell;Mike Pierce
Edson Barboza;Rafaello Oliveira;Edson Barboza
Ryan Jimmo;Igor Pokrajac;Ryan Jimmo
Pat Barry;Shawn Jordan;Shawn Jordan
Roy Nelson;Stipe Miocic;Stipe Miocic
Sam Stout;James Krause;James Krause
Rashad Evans;Dan Henderson;Rashad Evans
Alexis Davis;Rosi Sexton;Alexis Davis
Sean Pierson;Kenny Robertson;Sean Pierson
Jake Shields;Tyron Woodley;Jake Shields
Roland Delorme;Edwin Figueroa;Roland Delorme
Yves Jabouin;Dustin Pague;Yves Jabouin
Mitch Clarke;John Maguire;Mitch Clarke
Thiago Silva;Rafael Cavalcante;Thiago Silva
William Macario;Leonardo Santos;Leonardo Santos
Erick Silva;Jason High;Erick Silva
Daniel Sarafian;Eddie Mendez;Daniel Sarafian
Rony Jason;Mike Wilkinson;Rony Jason
Raphael Assuncao;Vaughan Lee;Raphael Assuncao
Godofredo Pepey;Felipe Arantes;Felipe Arantes
Antonio Rodrigo Nogueira;Fabricio Werdum;Fabricio Werdum
Ildemar Alcantara;Leandro Silva;Ildemar Alcantara
Antonio Braga Neto;Anthony Smith;Antonio Braga Neto
Rodrigo Damm;Mizuto Hirota;Rodrigo Damm
Caio Magalhaes;Karlos Vemola;Caio Magalhaes
Cain Velasquez;Antonio Silva;Cain Velasquez
Junior Dos Santos;Mark Hunt;Junior Dos Santos
Glover Teixeira;James Te Huna;Glover Teixeira
Donald Cerrone;KJ Noons;Donald Cerrone
Gray Maynard;TJ Grant;TJ Grant
Colton Smith;Robert Whittaker;Robert Whittaker
Mike Pyle;Rick Story;Mike Pyle
Dennis Bermudez;Max Holloway;Dennis Bermudez
Khabib Nurmagomedov;Abel Trujillo;Khabib Nurmagomedov
Jeremy Stephens;Estevan Payan;Jeremy Stephens
Brian Bowles;George Roop;George Roop
Stephen Thompson;Nah-Shon Burrell;Stephen Thompson
Paulo Thiago;Michel Prazeres;Paulo Thiago
Rafael Dos Anjos;Evan Dunham;Rafael Dos Anjos
Vitor Belfort;Luke Rockhold;Vitor Belfort
Jacare Souza;Chris Camozzi;Jacare Souza
Rafael Natal;Joao Zeferino;Rafael Natal
Gleison Tibau;John Cholish;Gleison Tibau
Hacran Dias;Nik Lentz;Nik Lentz
Francisco Trinaldo;Mike Rio;Francisco Trinaldo
Iuri Alcantara;Iliarde Santos;Iuri Alcantara
Jussier Formiga;Chris Cariaso;Jussier Formiga
Lucas Martins;Jeremy Larsen;Lucas Martins
John Lineker;Azamat Gashimov;John Lineker
Fabio Maldonado;Roger Hollett;Fabio Maldonado
Rustam Khabilov;Yancy Medeiros;Rustam Khabilov
Jon Jones;Chael Sonnen;Jon Jones
Phil Davis;Vinny Magalhaes;Phil Davis
Gian Villante;Ovince Saint Preux;Ovince Saint Preux
Sara McMann;Sheila Gaff;Sara McMann
Roy Nelson;Cheick Kongo;Roy Nelson
Michael Bisping;Alan Belcher;Michael Bisping
Jim Miller;Pat Healy;
Steven Siler;Kurt Holobaugh;Steven Siler
Bryan Caraway;Johnny Bedford;Bryan Caraway
Leonard Garcia;Cody McKenzie;Cody McKenzie
Chad Mendes;Darren Elkins;Chad Mendes
Benson Henderson;Gilbert Melendez;Benson Henderson
Francis Carmont;Lorenz Larkin;Francis Carmont
Ramsey Nijem;Myles Jury;Myles Jury
Nate Diaz;Josh Thomson;Josh Thomson
Frank Mir;Daniel Cormier;Daniel Cormier
Joseph Benavidez;Darren Uyenoyama;Joseph Benavidez
Matt Brown;Jordan Mein;Matt Brown
Tim Means;Jorge Masvidal;Jorge Masvidal
TJ Dillashaw;Hugo Viana;TJ Dillashaw
Anthony Njokuani;Roger Bowling;Anthony Njokuani
Clifford Starks;Yoel Romero;Yoel Romero
Robert McDaniel;Gilbert Smith;Robert McDaniel
Uriah Hall;Kelvin Gastelum;Kelvin Gastelum
Luke Barnatt;Collin Hart;Luke Barnatt
Josh Samman;Kevin Casey;Josh Samman
Urijah Faber;Scott Jorgensen;Urijah Faber
Travis Browne;Gabriel Gonzaga;Travis Browne
Miesha Tate;Cat Zingano;Cat Zingano
Dylan Andrews;Jimmy Quinlan;Dylan Andrews
Justin Lawrence;Daniel Pineda;Daniel Pineda
Bristol Marunde;Clint Hester;Clint Hester
Sam Sicilia;Maximo Blanco;Maximo Blanco
Cole Miller;Bart Palaszewski;Cole Miller
Ryan Couture;Ross Pearson;Ross Pearson
Reza Madadi;Michael Johnson;Reza Madadi
Matt Mitrione;Philip De Fries;Matt Mitrione
Diego Brandao;Pablo Garza;Diego Brandao
Gegard Mousasi;Ilir Latifi;Gegard Mousasi
Tor Troeng;Adam Cella;Tor Troeng
Brad Pickett;Mike Easton;Brad Pickett
Akira Corassani;Robert Peralta;Akira Corassani
Chris Spang;Adlan Amagov;Adlan Amagov
Marcus Brimage;Conor McGregor;Conor McGregor
Ben Alloway;Ryan LaFlare;Ryan LaFlare
Michael Kuiper;Tom Lawlor;Tom Lawlor
Papy Abedi;Besam Yousef;Papy Abedi
Jake Ellenberger;Nate Marquardt;Jake Ellenberger
Antonio Carvalho;Darren Elkins;Darren Elkins
Mike Ricci;Colin Fletcher;Mike Ricci
Patrick Cote;Bobby Voelker;Patrick Cote
Carlos Condit;Johny Hendricks;Johny Hendricks
Dan Miller;Jordan Mein;Jordan Mein
Georges St-Pierre;Nick Diaz;Georges St-Pierre
Nick Ring;Chris Camozzi;Chris Camozzi
TJ Dillashaw;Issei Tamura;TJ Dillashaw
Rick Story;Quinn Mulhern;Rick Story
John Makdessi;Daron Cruickshank;John Makdessi
George Roop;Reuben Duran;George Roop
Takeya Mizugaki;Bryan Caraway;Takeya Mizugaki
Yushin Okami;Hector Lombard;Yushin Okami
Riki Fukuda;Brad Tavares;Brad Tavares
Takanori Gomi;Diego Sanchez;Diego Sanchez
Dong Hyun Kim;Siyar Bahadurzada;Dong Hyun Kim
Wanderlei Silva;Brian Stann;Wanderlei Silva
Mizuto Hirota;Rani Yahya;Rani Yahya
Stefan Struve;Mark Hunt;Mark Hunt
Cristiano Marcello;Kazuki Tokudome;Kazuki Tokudome
Alex Caceres;Kyung Ho Kang;
Marcelo Guimaraes;Hyun Gyu Lim;Hyun Gyu Lim
Ronda Rousey;Liz Carmouche;Ronda Rousey
Urijah Faber;Ivan Menjivar;Urijah Faber
Lyoto Machida;Dan Henderson;Lyoto Machida
Michael Chiesa;Anton Kuivanen;Michael Chiesa
Court McGee;Josh Neer;Court McGee
Brendan Schaub;Lavar Johnson;Brendan Schaub
Josh Koscheck;Robbie Lawler;Robbie Lawler
Dennis Bermudez;Matt Grice;Dennis Bermudez
Sam Stout;Caros Fodor;Sam Stout
Kenny Robertson;Brock Jardine;Kenny Robertson
Nah-Shon Burrell;Yuri Villefort;Nah-Shon Burrell
Jon Manley;Neil Magny;Neil Magny
Cub Swanson;Dustin Poirier;Cub Swanson
Renan Barao;Michael McDonald;Renan Barao
Paul Sass;Danny Castillo;Danny Castillo
Terry Etim;Renee Forte;Renee Forte
Jimi Manuwa;Cyrille Diabate;Jimi Manuwa
James Te Huna;Ryan Jimmo;James Te Huna
Gunnar Nelson;Jorge Santiago;Gunnar Nelson
Che Mills;Matthew Riddle;
Andy Ogle;Josh Grispi;Andy Ogle
Vaughan Lee;Motonobu Tezuka;Vaughan Lee
Tom Watson;Stanislav Nedkov;Tom Watson
Phil Harris;Ulysses Gomez;Phil Harris
Tyron Woodley;Jay Hieron;Tyron Woodley
Jose Aldo;Frankie Edgar;Jose Aldo
Rashad Evans;Rogerio Nogueira;Rogerio Nogueira
Jon Fitch;Demian Maia;Demian Maia
Joseph Benavidez;Ian McCall;Joseph Benavidez
Jacob Volkmann;Bobby Green;Bobby Green
Alistair Overeem;Antonio Silva;Antonio Silva
Gleison Tibau;Evan Dunham;Evan Dunham
Chico Camus;Dustin Kimura;Dustin Kimura
Edwin Figueroa;Francisco Rivera;Francisco Rivera
Yves Edwards;Isaac Vallie-Flagg;Isaac Vallie-Flagg
Anthony Pettis;Donald Cerrone;Anthony Pettis
